"district"
"TVM"
"Kollam"
"Pathanamthitta"
"Alappuzha"
"Kottayam"
"Idukki"
"Eranakulam"
"Thrissur"
"Palakkad"
"Malappuram"
"Wayanad"
"Kozhikode"
"Kannur"
"Kasarkode"
